                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 1.3323,                  1.332,                 1.7489,                 1.3075,                 1.5691,                 1.6931,                0.73708,                0.71079,                0.76729,                0.47878,                  1.217,                  1.062,                 1.8149,                 1.2684,                 1.3112,                 1.8352,              0.0010894,              0.0010894,              0.0010894
                     73,                 1.3168,                 1.3236,                  1.742,                 1.3029,                 1.5633,                 1.6852,                0.72008,                0.72602,                0.74875,                0.42697,                 1.2392,                 1.1435,                 1.8646,                 1.3294,                 1.3961,                 1.9507,              0.0010811,              0.0010811,              0.0010811
                     74,                 1.3081,                 1.3554,                 1.7371,                 1.3077,                  1.575,                 1.6989,                0.71258,                0.69336,                0.76007,                0.48089,                 1.1855,                 1.1253,                 1.7336,                 1.2439,                 1.2757,                 1.7487,              0.0010729,              0.0010729,              0.0010729
                     75,                 1.2993,                 1.3331,                 1.7285,                 1.2841,                 1.5684,                 1.6824,                0.68422,                0.73456,                0.80571,                0.51264,                 1.1992,                0.98276,                 1.7524,                 1.2144,                  1.161,                 1.7346,              0.0010646,              0.0010646,              0.0010646
                     76,                 1.2294,                 1.2358,                 1.6699,                 1.2233,                 1.4642,                 1.6429,                0.67571,                0.77216,                0.75125,                0.47081,                 1.2115,                   1.01,                 1.7588,                 1.2609,                 1.0717,                 1.7491,              0.0010564,              0.0010564,              0.0010564
                     77,                 1.2676,                 1.2525,                 1.6869,                 1.2424,                 1.5019,                 1.6442,                0.75751,                0.54491,                0.66587,                0.36347,                 1.4418,                  1.245,                 1.9985,                 1.4553,                 1.3929,                 1.9579,              0.0010481,              0.0010481,              0.0010481
                     78,                 1.3239,                 1.3027,                 1.7227,                 1.3153,                 1.5226,                 1.6562,                0.67559,                0.70545,                0.73215,                0.45835,                 1.3083,                 1.1726,                 1.9259,                  1.328,                 1.3513,                 1.9433,              0.0010399,              0.0010399,              0.0010399
                     79,                 1.3372,                 1.3415,                 1.7553,                 1.3243,                 1.5625,                 1.6995,                0.74601,                0.70921,                0.77401,                0.50123,                 1.3052,                 1.1865,                 1.8957,                 1.2617,                 1.4483,                 1.7764,              0.0010316,              0.0010316,              0.0010316
                     80,                 1.2843,                 1.2771,                 1.7092,                 1.2852,                  1.508,                  1.666,                0.65818,                0.76532,                0.79623,                0.48535,                 1.1732,                 1.1024,                 1.7365,                 1.1964,                 1.2619,                 1.7542,              0.0010234,              0.0010234,              0.0010234
                     81,                 1.2574,                 1.2666,                 1.7044,                 1.2355,                 1.4867,                 1.6405,                0.68311,                0.76952,                0.80504,                0.46197,                 1.2247,                 1.1626,                 1.7651,                 1.2075,                  1.458,                 1.7673,              0.0010151,              0.0010151,              0.0010151
                     82,                 1.2039,                  1.203,                 1.6291,                 1.2131,                 1.4332,                 1.6063,                0.73186,                0.76754,                0.79552,                0.46983,                 1.3071,                 1.0775,                 1.8431,                 1.3499,                 1.2692,                  1.881,              0.0010069,              0.0010069,              0.0010069
                     83,                 1.2585,                 1.2267,                 1.6683,                 1.2565,                 1.4366,                 1.6313,                 0.7503,                0.75487,                0.81398,                0.52523,                 1.2346,                0.98186,                 1.7681,                 1.3055,                 1.1172,                   1.79,             0.00099862,             0.00099862,             0.00099862
                     84,                 1.2446,                 1.2334,                  1.656,                 1.2557,                 1.4442,                 1.6212,                0.74207,                 0.7289,                0.77611,                0.48798,                 1.2869,                 1.1658,                 1.9136,                 1.3114,                 1.3914,                  1.805,             0.00099036,             0.00099036,             0.00099036
                     85,                 1.2617,                 1.2209,                 1.6817,                 1.2394,                 1.4783,                 1.6314,                0.79976,                0.75307,                0.83807,                0.55531,                 1.2806,                  1.019,                 1.8816,                 1.3271,                 1.0119,                 1.8846,             0.00098211,             0.00098211,             0.00098211
                     86,                 1.2337,                 1.2148,                 1.6401,                 1.2281,                 1.4441,                 1.5931,                0.79286,                0.78408,                0.82781,                0.55513,                 1.1426,                 1.0254,                 1.6994,                 1.1383,                 1.1874,                 1.6978,             0.00097386,             0.00097386,             0.00097386
                     87,                  1.242,                 1.2251,                 1.6763,                 1.2283,                 1.4687,                 1.6213,                0.87142,                0.68344,                0.84518,                0.56879,                 1.1357,                0.97601,                 1.7077,                 1.2172,                 1.0268,                 1.7493,             0.00096561,             0.00096561,             0.00096561
                     88,                 1.2381,                  1.202,                 1.6547,                 1.2226,                 1.4294,                 1.6083,                0.80413,                 0.7289,                0.87029,                0.58806,                 1.1569,                 1.0013,                 1.6901,                 1.2673,                0.96657,                 1.7552,             0.00095736,             0.00095736,             0.00095736
                     89,                  1.208,                 1.1694,                 1.6288,                 1.2028,                 1.3767,                    1.6,                0.83006,                0.81331,                 0.8595,                0.54277,                 1.1271,                0.98457,                 1.6851,                  1.268,                 1.0515,                 1.7755,             0.00094911,             0.00094911,             0.00094911
                     90,                 1.2233,                 1.1432,                 1.6412,                  1.222,                 1.3573,                 1.5962,                0.89971,                0.73575,                0.85969,                0.58048,                 1.1906,                0.93329,                  1.759,                 1.3551,                0.99226,                 1.8245,             0.00094085,             0.00094085,             0.00094085
                     91,                 1.2285,                 1.1939,                 1.6524,                 1.2409,                 1.4338,                  1.611,                0.82699,                 0.7911,                0.88187,                0.62496,                 1.1311,                0.85249,                 1.7064,                 1.2228,                0.82171,                 1.7477,              0.0009326,              0.0009326,              0.0009326
                     92,                 1.2524,                 1.1625,                 1.6673,                 1.2432,                 1.3638,                 1.6101,                0.82574,                0.80195,                0.89378,                0.57981,                 1.1971,                0.81556,                 1.7434,                 1.2316,                0.91011,                 1.7331,             0.00092435,             0.00092435,             0.00092435
                     93,                 1.1894,                  1.131,                 1.6109,                 1.1835,                 1.3594,                 1.5679,                0.84546,                0.70458,                0.85414,                0.58694,                 1.0582,                0.89926,                 1.6329,                  1.122,                  1.035,                 1.6845,              0.0009161,              0.0009161,              0.0009161
                     94,                  1.204,                 1.1461,                  1.635,                 1.2105,                 1.3358,                 1.5895,                0.73562,                0.80959,                0.82322,                0.55547,                 1.0686,                0.94506,                 1.5909,                 1.1509,                 1.0967,                  1.615,             0.00090785,             0.00090785,             0.00090785
                     95,                  1.223,                 1.1601,                 1.6237,                 1.2128,                 1.3722,                  1.579,                 0.7576,                0.78898,                0.85721,                0.61226,                 1.0571,                0.82742,                 1.6244,                   1.03,                0.96744,                 1.6336,              0.0008996,              0.0008996,              0.0008996
                     96,                  1.218,                 1.1493,                 1.6326,                 1.2079,                  1.359,                  1.582,                0.88414,                0.83712,                0.90875,                0.65609,                 1.0403,                0.77028,                 1.6255,                 1.0517,                0.71162,                 1.6482,             0.00089134,             0.00089134,             0.00089134
                     97,                 1.1906,                 1.1402,                  1.599,                 1.1986,                 1.3823,                 1.5619,                0.86586,                0.72852,                0.87432,                0.64055,                0.99923,                0.84371,                 1.5794,                  1.013,                0.94362,                 1.5784,             0.00088309,             0.00088309,             0.00088309
                     98,                  1.187,                 1.1711,                 1.6133,                 1.1998,                 1.3709,                 1.5744,                 0.8508,                 0.7236,                0.87242,                0.61637,                0.90901,                0.79438,                 1.5001,                  1.036,                0.92222,                 1.5709,             0.00087484,             0.00087484,             0.00087484
